,recall,recall_std,ndcg,ndcg_std,precision,precision_std,map,map_std,modelname
15,0.1019668564,0.003115883744,0.1721256569,0.004536184272,0.1576988335,0.002880998074,0.04230634682,0.001864987898,attention|direct|attention
11,0.09956783874,0.004895400045,0.1634226347,0.006681219088,0.1506362672,0.005473018127,0.04003276143,0.002526541493,degree_norm|multi_linear|attention
12,0.09890710618,0.002899728662,0.1664315625,0.004927850944,0.1538069989,0.00478969268,0.03964651264,0.001288282309,attention|direct|mean
4,0.09646920871,0.003819627266,0.1592501394,0.006120369838,0.1464156946,0.004778845103,0.03865776096,0.002435899037,degree_norm|single_linear|mean
23,0.09681272556,0.004470830408,0.1600789962,0.006439888662,0.1487062566,0.004746734081,0.03803347856,0.00287110307,attention|multi_linear|attention
7,0.09528734119,0.005223198487,0.1594314562,0.009613490766,0.1476458112,0.007204171464,0.03777624702,0.003349009659,degree_norm|single_linear|attention
6,0.09434357403,0.005288376001,0.1559642717,0.00742029442,0.1440933192,0.006020640745,0.03749521521,0.002962407461,degree_norm|single_linear|weighted
19,0.09546387205,0.006255391968,0.1603530664,0.008441534577,0.1499575822,0.007307145893,0.03746960083,0.003298754053,attention|single_linear|attention
0,0.09510397521,0.001879280995,0.157001187,0.003505896226,0.1461505832,0.003162830589,0.03691883987,0.001035881175,degree_norm|direct|mean
16,0.09162722998,0.003645180998,0.1519820802,0.006044738592,0.1422693531,0.005513133081,0.03509049219,0.001956172221,attention|single_linear|mean
8,0.08738151313,0.003646904553,0.1426808163,0.006412495604,0.1338282078,0.00557072058,0.03281006446,0.001828311191,degree_norm|multi_linear|mean
18,0.08575882727,0.006596809714,0.1430470662,0.01101723022,0.1342311771,0.009394708268,0.03243238935,0.00384791385,attention|single_linear|weighted
14,0.08222909131,0.01692405107,0.1359199028,0.02698085537,0.1269353128,0.0239221061,0.03156239416,0.008061142979,attention|direct|weighted
20,0.08415616109,0.003510801823,0.1382646451,0.006326916071,0.1312725345,0.004812938607,0.03089193163,0.001967077162,attention|multi_linear|mean
10,0.08083668755,0.005220156775,0.1338216335,0.008809026119,0.1249734889,0.007724855165,0.0304304041,0.002648545369,degree_norm|multi_linear|weighted
22,0.0758862289,0.007111715481,0.1232803262,0.01241031005,0.1177412513,0.01023536372,0.02696946791,0.003567302134,attention|multi_linear|weighted
5,0.05778150384,0.00477554241,0.09969600527,0.008726722674,0.09595970308,0.007962730406,0.0195085852,0.002182896401,degree_norm|single_linear|concat
9,0.05953767082,0.00575029102,0.09823574665,0.007471291464,0.09577942736,0.007287011572,0.01933297554,0.002450516208,degree_norm|multi_linear|concat
17,0.05250001463,0.002641121858,0.08856861366,0.003438666307,0.08705196182,0.003574959422,0.01673975724,0.001033551508,attention|single_linear|concat
21,0.0520318434,0.003182622879,0.08669686252,0.005115650179,0.08497348887,0.004195411982,0.0166048649,0.001549986137,attention|multi_linear|concat
3,0.05212401145,0.002195936454,0.08256899367,0.004175001478,0.08143160127,0.003978705736,0.01646502318,0.0008986152488,degree_norm|direct|attention
2,0.02688625339,0.001614686118,0.04800949318,0.001577922419,0.04774125133,0.00167724784,0.007799002648,0.0004747340831,degree_norm|direct|weighted
13,0.02428354728,0.002254852498,0.03938784908,0.002861963003,0.04002120891,0.00276253656,0.006371901509,0.0007694254425,attention|direct|concat
1,0.02166660012,0.001755850046,0.04274059411,0.002161913887,0.04331919406,0.002505547688,0.006154475817,0.0005062458014,degree_norm|direct|concat
